date,ward_id,ward_name,centre_id,centre_name,centre_type,district_id,total_beds,current_occupied_beds,current_available_beds,current_occupancy_rate,occupied_lag_1d,occupied_lag_2d,occupied_lag_7d,occupied_lag_14d,occupied_7d_mean,occupied_14d_mean,occupied_7d_std,day_of_week,day_of_month,month,is_weekend,is_monsoon,target_occ_t1,target_rate_t1,target_occ_t2,target_rate_t2,target_occ_t3,target_rate_t3,target_occ_t4,target_rate_t4,target_occ_t5,target_rate_t5,target_occ_t6,target_rate_t6,target_occ_t7,target_rate_t7,target_occ_t8,target_rate_t8,target_occ_t9,target_rate_t9,target_occ_t10,target_rate_t10,target_occ_t11,target_rate_t11,target_occ_t12,target_rate_t12,target_occ_t13,target_rate_t13,target_occ_t14,target_rate_t14
2025-08-18,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,9,9,9,9,9,9,0.0,0,18,8,0,1,7,0.467,8,0.533,9,0.6,8,0.533,8,0.533,8,0.533,9,0.6,10,0.667,7,0.467,8,0.533,7,0.467,7,0.467,8,0.533,9,0.6
2025-08-19,1,General,1,Coimbatore Central PHC,PHC,1,15,7,8,0.467,9,7,7,7,9,9,0.0,1,19,8,0,1,8,0.533,9,0.6,8,0.533,8,0.533,8,0.533,9,0.6,10,0.667,7,0.467,8,0.533,7,0.467,7,0.467,8,0.533,9,0.6,10,0.667
2025-08-20,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,7,9,8,8,8,8,1.41,2,20,8,0,1,9,0.6,8,0.533,8,0.533,8,0.533,9,0.6,10,0.667,7,0.467,8,0.533,7,0.467,7,0.467,8,0.533,9,0.6,10,0.667,11,0.733
2025-08-21,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,8,7,9,9,8,8,1.0,3,21,8,0,1,8,0.533,8,0.533,8,0.533,9,0.6,10,0.667,7,0.467,8,0.533,7,0.467,7,0.467,8,0.533,9,0.6,10,0.667,11,0.733,11,0.733
2025-08-22,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,9,8,8,8,8.25,8.25,0.96,4,22,8,0,1,8,0.533,8,0.533,9,0.6,10,0.667,7,0.467,8,0.533,7,0.467,7,0.467,8,0.533,9,0.6,10,0.667,11,0.733,11,0.733,8,0.533
2025-08-23,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,8,9,8,8,8.2,8.2,0.84,5,23,8,1,1,8,0.533,9,0.6,10,0.667,7,0.467,8,0.533,7,0.467,7,0.467,8,0.533,9,0.6,10,0.667,11,0.733,11,0.733,8,0.533,9,0.6
2025-08-24,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,8,8,8,8,8.17,8.17,0.75,6,24,8,1,1,9,0.6,10,0.667,7,0.467,8,0.533,7,0.467,7,0.467,8,0.533,9,0.6,10,0.667,11,0.733,11,0.733,8,0.533,9,0.6,9,0.6
2025-08-25,1,General,1,Coimbatore Central PHC,PHC,1,15,9,6,0.6,8,8,9,9,8.14,8.14,0.69,0,25,8,0,1,10,0.667,7,0.467,8,0.533,7,0.467,7,0.467,8,0.533,9,0.6,10,0.667,11,0.733,11,0.733,8,0.533,9,0.6,9,0.6,11,0.733
2025-08-26,1,General,1,Coimbatore Central PHC,PHC,1,15,10,5,0.667,9,8,7,10,8.14,8.25,0.69,1,26,8,0,1,7,0.467,8,0.533,7,0.467,7,0.467,8,0.533,9,0.6,10,0.667,11,0.733,11,0.733,8,0.533,9,0.6,9,0.6,11,0.733,10,0.667
2025-08-27,1,General,1,Coimbatore Central PHC,PHC,1,15,7,8,0.467,10,9,8,7,8.57,8.44,0.79,2,27,8,0,1,8,0.533,7,0.467,7,0.467,8,0.533,9,0.6,10,0.667,11,0.733,11,0.733,8,0.533,9,0.6,9,0.6,11,0.733,10,0.667,10,0.667
2025-08-28,1,General,1,Coimbatore Central PHC,PHC,1,15,8,7,0.533,7,10,9,8,8.43,8.3,0.98,3,28,8,0,1,7,0.467,7,0.467,8,0.533,9,0.6,10,0.667,11,0.733,11,0.733,8,0.533,9,0.6,9,0.6,11,0.733,10,0.667,10,0.667,8,0.533
2025-08-29,1,General,1,Coimbatore Central PHC,PHC,1,15,7,8,0.467,8,7,8,7,8.29,8.27,0.95,4,29,8,0,1,7,0.467,8,0.533,9,0.6,10,0.667,11,0.733,11,0.733,8,0.533,9,0.6,9,0.6,11,0.733,10,0.667,10,0.667,8,0.533,7,0.467
2025-08-30,1,General,1,Coimbatore Central PHC,PHC,1,15,7,8,0.467,7,8,8,7,8.14,8.17,1.07,5,30,8,1,1,8,0.533,9,0.6,10,0.667,11,0.733,11,0.733,8,0.533,9,0.6,9,0.6,11,0.733,10,0.667,10,0.667,8,0.533,7,0.467,7,0.467
