date,centre_id,centre_name,centre_type,district_id,medicine_id,medicine_name,medicine_category,current_stock,minimum_stock,maximum_stock,stock_to_min_ratio,days_since_last_restock,last_restock_quantity,dispensed_qty_today,dispensed_qty_7d_avg,dispensed_qty_14d_avg,dispensed_qty_30d_avg,dispensed_qty_7d_std,consumption_trend_7_30,day_of_week,month,is_weekend,is_monsoon,days_until_stockout
2025-08-18,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,417,126,810,3.31,2,450,25,18.0,18.0,18.0,0.0,1.0,0,8,0,1,56.0
2025-08-19,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,390,126,810,3.095,3,450,27,25,25,25,0.0,1.0,1,8,0,1,55.0
2025-08-20,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,365,126,810,2.897,4,450,25,26,26,26,1.41,1.0,2,8,0,1,54.0
2025-08-21,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,338,126,810,2.683,5,450,27,25.67,25.67,25.67,1.15,1.0,3,8,0,1,53.0
2025-08-22,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,309,126,810,2.452,6,450,29,26,26,26,1.15,1.0,4,8,0,1,52.0
2025-08-23,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,287,126,810,2.278,7,450,22,26.6,26.6,26.6,1.67,1.0,5,8,1,1,51.0
2025-08-24,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,274,126,810,2.175,8,450,13,25.83,25.83,25.83,2.4,1.0,6,8,1,1,50.0
2025-08-25,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,251,126,810,1.992,9,450,23,24,24,24,5.32,1.0,0,8,0,1,49.0
2025-08-26,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,229,126,810,1.817,10,450,22,23.71,23.88,23.88,5.31,0.993,1,8,0,1,48.0
2025-08-27,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,211,126,810,1.675,11,450,18,23,23.67,23.67,5.13,0.972,2,8,0,1,47.0
2025-08-28,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,186,126,810,1.476,12,450,25,22,23.1,23.1,5.35,0.952,3,8,0,1,46.0
2025-08-29,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,166,126,810,1.317,13,450,20,21.71,23.27,23.27,5.09,0.933,4,8,0,1,45.0
2025-08-30,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,144,126,810,1.143,14,450,22,20.43,23,23,3.95,0.888,5,8,1,1,44.0
2025-08-31,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,122,126,810,0.968,15,450,22,20.43,22.92,22.92,3.95,0.891,6,8,1,1,43.0
2025-09-01,1,Coimbatore Central PHC,PHC,1,1,Paracetamol,Analgesic / Antipyretic,92,126,810,0.73,16,450,30,21.71,22.86,22.86,2.21,0.95,0,9,0,1,42.0
